57,めぐりあいてみしやそれともわかぬまに くもがくれにしよはのつきかな
100,ももしきやふるきのきばのしのぶにも なおあまりあるむかしなりけり
66,もろともにあわれとおもえやまざくら はなよりほかにしるひともなし
47,やえむぐらしげれるやどのさびしきに ひとこそみえねあきはきにけり
59,やすらわでねなましものをさよふけて かたぶくまでのつきをみしかな
32,やまがわにかぜのかけたるしがらみは ながれもあえぬもみじなりけり
28,やまざとはふゆぞさびしさまさりける ひとめもくさもかれぬとおもえば
71,ゆうさればかどたのいなばおとずれて あしのまろやにあきかぜぞふく
46,ゆらのとをわたるふなびとかじをたえ ゆくえもしらぬこいのみちかな
93,よのなかはつねにもがもななぎさこぐ あまのおぶねのつなでかなしも
83,よのなかよみちこそなけれおもいいる やまのおくにもしかぞなくなる
85,よもすがらものおもうころはあけやらで ねやのひまさえつれなかりけり
62,よをこめてとりのそらねははかるとも よにおうさかのせきはゆるさじ
8,わがいおはみやこのたつみしかぞすむ よをうじやまとひとはいうなり
92,わがそではしおひにみえぬおきのいしの ひとこそしらねかわくまもなし
38,わすらるるみをばおもわずちかいてし ひとのいのちのおしくもあるかな
54,わすれじのゆくすえまではかたければ きょうをかぎりのいのちともがな
76,わたのはらこぎいでてみればひさかたの くもいにまごうおきつしらなみ
11,わたのはらやそしまかけてこぎいでぬと ひとにはつげよあまのつりぶね
20,わびぬればいまはたおなじなにわなる みをつくしてもあわんとぞおもう
